question,category,answer
Installation Guideline for Unity Editor 2022.3.2.f1 (macOS),IT_Helpdesk,"Installation for Unity Editor 2022.3.2.f1 (macOS)

This is a step-by-step process on how to install Unity Editor 2022.3.2.f1 for Windows 11. This entire article will be divided into 5 sections; Signing Up for Unity Student Plan, installing Unity Hub, downloading Unity Editor 2022.3.2.f1, and running Unity Hub for macOS.Installation Video
Signing Up for Unity Student Plan
Step 1: Go to the Unity Student Plan page and scroll down until you see “Apply for the Unity Student plan” and click on Get Started.


Step 2: Click create one to create an Unity account.


Step 3: Fill in your “Email”, “Username”, “Password”, and “Full Name”. Also agree with the terms below, complete the verification and then click Create a Unity ID.


Step 4: After creating your Unity ID, find the email titled “Confirm your email address” and click on Link to confirm email.


Step 5: Complete the verification and click verify


Step 6: Enter your “TP email” and “Password”. Then click Sign in.


Step 7: Click Continue


Step 8: Enter your “First name”, “Last name”, and “Date of birth”.


Step 9: Fill the “Profile Information” section and also include these information:

Email address:

Your TP email

Country:

“Malaysia”

College/University: 

“Asia pacific University of technology & Innovation (APU) (Kuala Lumpur, Wilayah Persekutuan)”


Step 10: Select your “Graduation Year” and agree with the terms


Step 11: Click on Verify My Student Status


Step 12: Click Sign in to my school.


Step 13: Enter your “TP email” and click Next.


Step 14: Enter your “Password” and click Sign In.


Step 15: Click Continue.


Step 16: Click Continue.


Result: You will be brought to this page if you have successfully followed the steps.


Installing Unity Hub
Step 1: Scroll down and find “1. Download Unity”, and then click on Download Unity highlighted in blue.


 

Step 2: Scroll down and find “Create with Unity in three steps”. Then, click on Download for Mac.


Step 3: Click on the executable file once it has finished downloading.


Step 4: Click Agree


Step 5: Drag Unity Hub to the Applications icon.


Downloading Unity Editor 2022.3.2.f1 (macOS)
Step 1: Go to Finder.





Step 2: Click Applications.


Step 3: Click on Unity Hub.


Step 4: Click Open.


Step 5: Click Sign in.


Step 6: Enter your “TP email” and “Password”. Then click Sign in.


Step 7: Go back to Unity Hub and click on Sign in again.


Step 8: Click Skip installation.


Step 9: Click Skip license activation


Step 10: Click Install Editor.


Step 11: Click Archive , and then click download archive.


Step 12: Click on Unity 2022.X.


Step 13: Scroll down until you find “Unity 2022.3.2” and click on Unity Hub.


Step 14: Once this pop up is shown, click Allow.


Step 15: Once the installer finishes setting up, select the modules required for your use case then press Continue.


Result: Unity 2022.3.2.f1 will start installing.


Running Unity Hub (macOS)
Step 1: Go to Finder.


Step 2: Click Applications.


Step 3: Click on Unity Hub.


Result: You have successfully installed and run Unity Editor 2022.3.2 f1 (macOS)


 

 

"
Installation Guideline for Unreal Editor 5.2 (Windows 11),IT_Helpdesk,"Unreal Editor 5.2 is a game development editor used to create, simulate and render animation and graphical interfaces for video games. This guideline provides the installation process from downloading to running Unreal Editor 5.2.Installation Video
Create Epic Games Account
Step 1: Head over to the Create Account Page and clicksign up with email.


Step 2: Enter your “Date of Birth”. Then click Continue.


Step 3: Key In the following values according to their fields.

Field

Value

Country

“Malaysia”

First Name

“Your First Name” (example: Reiner)

Last Name

“Your Last Name” (example: Braun)

Display Name

“Your Display Name” (example: ReinerBraun)

Email Address

“Student TP Email” (example: TP000619@mail.apu.edu.my)

Password

“Your Password”

Step 4: Agree to the Terms of Service. Then click Continue.


Step 5: A verification code email should be sent to your TP email. Copy the code.


Step 6: Paste the code in. Click Verify Email.


 

Download Epic Games Launcher
Step 1: Head over to the Official Download Page. Click Download Launcher.


Result: It should automatically download.


Install Epic Games Launcher
Step 1: Launch the installer.


Step 2: Click Install. Click Yes to any popup that states “Do you want to allow… make changes to your device?”


Result: It will automatically direct you to the login screen.


Install Unreal Editor 5.2
Step 1: Click Sign in with Epic Games.


Step 2: Login with your account credentials. Click Log In Now.


Step 3: Click Unreal Engine.


Step 4: Click the Plus Icon.


Step 5: Click version 5.2.1.


Step 6: Click Install.


Step 7: Click Install. Installation should start.


 

 

Step 8: Wait for the installation to complete. Then click Launch.


Result: Installation Complete.


Run Unreal Editor 5.2
Step 1: Launch Epic Games Launcher.


Step 2: Click Unreal Engine.


Step 3: Click No Thanks.


Step 4: Click Library.


Step 5: Click Launch.


Result: Software should be able to run.


 

"
Installation Guideline for Unreal Editor 5.2 + Xcode (macOS),IT_Helpdesk,"Unreal Editor 5.2 is a game development editor used to create, simulate and render animation and graphical interfaces for video games. This guideline provides the installation process from downloading to running Unreal Editor 5.Installation Video
Create Epic Games Account
Step 1: Head over to the Create Account Page and Click Sign up with email.


Step 2: Enter your “Date of Birth”. Then click Continue.


Step 3: Key In the following values according to their fields.

Field

Value

Country

“Malaysia”

First Name

“Your First Name” (example: Reiner)

Last Name

“Your Last Name” (example: Braun)

Display Name

“Your Display Name” (example: ReinerBraun)

Email Address

“Student TP Email” (example: TP000619@mail.apu.edu.my)

Password

“Your Password”

Step 4: Agree to the Terms of Service. Then click Continue.


Step 5: A verification code email should be sent to your TP email. Copy the code.


Step 6: Paste the code in. Click Verify Email.


Download Epic Games Launcher
Step 1: Head over to the Official Download Page. Click Download Launcher.


Result: The download should automatically start.


Install Epic Games Launcher
Step 1: Launch the installer.


Step 2: Drag & Drop the app into the folder.


Step 3: Run Epic Games Launcher from the applications menu.


Step 4: Click Open.


 

Result: It will automatically direct you to the login screen.


Install Unreal Editor 5.2
Step 1: Click Sign in with Epic Games.


Step 2: Key in your credentials. Then click Log in now.


Step 3: Click on Unreal Engine.


Step 4: Click on Library.


Step 5: Click on the Plus Icon.


Step 6: Select the dropdown bar. Then click on 5.2.0.


Step 7: Click on Install.


Step 8: Agree with the End User License Agreement. Then click Accept.


Step 9: Click Install.


Step 10: After the installation has completed. Click Launch.


Step 11: Click OK. Then proceed with the rest of the guideline.


Download Xcode
Xcode needs to be installed for Unreal Editor to work on macOS.

Step 1: Search for “Xcode” in the App Store. Then click Get. Lastly click Install.


Step 3: If you don't have an Apple ID, create one - otherwise Sign In with your Apple ID.


Step 4: A verification code should be sent to your phone/email. Copy & Paste the code in. Then click Verify.


Result: It should begin downloading.


Run Xcode
Step 1: Click Open.


Step 2: Click Agree.


Step 3: Key In your device credentials. Then click OK.


Step 4: Click on Install.


Step 5: Click Continue.


Step 6: Exit the application. 


Run Unreal Editor 5.2
Step 1: Launch Epic Games Launcher.


Step 2: Click No Thanks.


Step 3: Click Library.


Step 4: Click Launch.


Result: Installation Complete.


 

 

 "
Installation Guideline for Autodesk AutoCAD 2023 (Windows 11),IT_Helpdesk,"Autodesk Autocad 2023 is a precise modeling software that could emulate design in both 2D and 3D Models. It includes processes from creating the model to documenting it. This installation guideline provides the step-by-step tutorial on how to install Autodesk AutoCAD 2023 for Windows 11.Installation Video
Create AutoDesk Account
Step 1: Head over to the Registration Portal. Key In the following details in their input boxes.



Field 

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Email

“TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Confirm Email

Confirm “TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Password

“Your Password” (example: Alex.123.)

Step 2: Click “I agree to the Autodesk terms… Privacy Statement.” Then click Create Account.


Step 3: Click Done.


Step 4: A verification email should be sent to your TP email. Click Verify email.


Step 5: Click Done.


Download AutoDesk AutoCAD
Step 1: Navigate to the Software Download Page. Look for “AutoCAD”.


Step 2: Click Get started.


Step 3: Key In the following details under “Account Details”.


Field

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Education Role 

“Student”

Date of Birth

“Your Date of Birth” (example: 01/01/1994)

Step 4: Key In the following details under “School Address”.

Field

Value

Country

“Malaysia”

Address

“Jalan Bukit Jalil Indah 1”

City 

“Kuala Lumpur”

Postal Code

“57000”

Step 5: Key In the following details under “School Information”.

Field 

Value

Institution Type

“University/Post-Secondary”

Name of educational Institution

“Asia Pacific University of Technology & Innovation”

School website

“https://www.apu.edu.my/”

Graduation Date

“Your Graduation Date” (example: Nov 2024)

Step 6: Click Confirm.


Step 7: Click Get Autodesk software.


Step 8: Click Get product.


Step 9: Select the correct OS and Year. Then click Install.


Result: The installer should begin downloading.


Install AutoDesk AutoCAD 
Step 1: Launch the installer.


Step 2: Click Install.


Step 3: Click Start.


Step 4: You can minimize the window while the installation continues.


Step 5: Click Sign in with your Autodesk ID.


Step 6: Key In your TP Email. Then click Next.


Step 7: Key In your Password. Then click Sign In.


Step 8: Click Ok.


Result: The software should be able to run with no issues.


Run AutoDesk AutoCAD
Step 1: Launch AutoCAD 2023 - English.


Result: Installation Complete.

 

 

 

 

"
Installation Guideline for Autodesk AutoCAD 2023 (macOS),IT_Helpdesk,"Autodesk Autocad 2023 is a precise modeling software that could emulate design in both 2D and 3D Models. It includes processes from creating the model to documenting it. This installation guideline provides the step-by-step tutorial on how to install Autodesk AutoCAD 2023 for macOS.Installation Video
Create AutoDesk Account
Step 1: Head over to the Registration Portal. Key In the following details in their input boxes.

Field 

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Email

“TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Confirm Email

Confirm “TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Password

“Your Password” (example: Alex.123.)

Step 2: Click “I agree to the Autodesk terms… Privacy Statement.” Then click Create Account.


Step 3: Click Done.


Step 4: A verification email should be sent to your TP email. Click Verify email.


Step 5: Click Done.


Download AutoDesk AutoCAD
Step 1: Navigate to the Software Download Page. Look for “AutoCAD” or click on any Get started.


Step 2: Key In the following details under “Account Details”.

Field

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Education Role 

“Student”

Date of Birth

“Your Date of Birth” (example: 01/01/1994)

Step 3: Key In the following details under “School Address”.

Field

Value

Country

“Malaysia”

Address

“Jalan Bukit Jalil Indah 1”

City 

“Kuala Lumpur”

Postal Code

“57000”

Step 4: Key In the following details under “School Information”.

Field 

Value

Institution Type

“University/Post-Secondary”

Name of educational Institution

“Asia Pacific University of Technology & Innovation”

School website

“https://www.apu.edu.my/”

Graduation Date

“Your Graduation Date” (example: Nov 2024)

Step 5: Select AutoCAD for Mac. Choose 2023. Then click Download.


Result: The installer should begin downloading.


Install AutoDesk AutoCAD
Step 1: Launch the installer.


Step 2: Click on Install Autodesk AutoCAD 2023 for Mac.


Step 3: Click Open.


Step 4: Click Open.


Step 5: Click I agree to the Terms of Use. Then click Next.


Step 6: Click Install.


Step 7: Click Start.


Step 8: Key In your TP email. Then click Next.


Step 9: Key In your password. Then click Sign In.


Step 10: Click OK.


Result: The software should be able to run with no issues.


Run AutoDesk AutoCAD
Step 1: Launch AutoCAD 2023.


Result: Installation Complete.


 

 

 

 

"
Installation Guideline for Autodesk Maya 2023 (Windows 11),IT_Helpdesk,"Autodesk Maya 2023 is the second latest 3D boolean modeling software. It uses different technologies to model and simulate virtual reality, motion graphics amongst other things. This installation guideline provides the step-by-step instructions on how to install Autodesk Maya 2023.

Installation Video
Create AutoDesk Account
Step 1: Head over to the Registration Portal. Key In the following details in their input boxes.

Field 

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Email

“TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Confirm Email

Confirm “TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Password

“Your Password” (example: Alex.123.)

Step 2: Click “I agree to the Autodesk terms… Privacy Statement.” Then click Create Account.


Step 3: Click Done.


Step 4: A verification email should be sent to your TP email. Click Verify email.


Step 5: Click Done.


Download Autodesk Maya 2023
If this is your first time installing an Autodesk software. Please refer to the “download section” of the Installation Guideline linked. CLICK HERE.

Step 1: Navigate to the Software Download Page. Look for “Maya”.


Step 2: Click Get product.


Step 3: Choose Windows, 2023. Click Install. Then finally press Accept.


Result: The installer should automatically download.


Install Autodesk Maya 2023
Step 1: Launch Maya_2023_ML_setup_webinstall.


Step 2: Click Next.


Step 3: Click Install.


Step 4: Click Start.


Step 5: The software should be able to run.


Run Autodesk Maya 2023
Step 1: Launch Maya 2023.


Step 2: Installation Complete.


"
Installation Guideline for Autodesk Maya 2023 (macOS),IT_Helpdesk,"Autodesk Maya 2023 is the second latest 3D boolean modeling software. It uses different technologies to model and simulate virtual reality, motion graphics amongst other things. This installation guideline provides the step-by-step instructions on how to install Autodesk Maya 2023Installation Video
Create AutoDesk Account
Step 1: Head over to the Registration Portal. Key In the following details in their input boxes.

Field 

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Email

“TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Confirm Email

Confirm “TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Password

“Your Password” (example: Alex.123.)

Step 2: Click “I agree to the Autodesk terms… Privacy Statement.” Then click Create Account.


Step 3: Click Done.


Step 4: A verification email should be sent to your TP email. Click Verify email.


Step 5: Click Done.


Download AutoDesk Maya 2023
If this is your first time installing an Autodesk software. Please refer to the “download section” of the Installation Guideline linked. CLICK HERE.

Step 1: Navigate to the Software Download Page. Look for “Maya”.


Step 2: Click Get product.


Step 3: Select Mac, 2023. Then finally click Download.


Result: The installer will automatically download. 


 

Install AutoDesk Maya 2023
Step 1: Click Autodesk_Maya_20…Update_macOS.dmg.


Step 2: Click Install Maya 2023.


Step 3: Click Open.


Step 4: Click Open.


Step 5: Click I agree to the Terms of Use. Then click Next.


Step 6: Click Install.


Step 7: Click Start.


Step 8: Click Sign in with your Autodesk ID.


If this window does not show. After Step 7, Select “Already have a license?”. Choose to “Switch User Account”. Then relaunch the application.

Step 9: Key In your “TP Email”. Then click Next.


Step 10: Key In your “Password”. Then click Sign In.


Result: The software should automatically open.


Run AutoDesk Maya 2023
Step 1: Launch Maya.


Result: Installation Complete.


 

"
Installation Guideline for Autodesk 3ds Max 2023 (Windows 11),IT_Helpdesk,"Autodesk 3ds Max 2023 is a 3D modeling, animation and rendering software that prioritizes arranging the work in a timely manner and increasing team efficiency. This installation guideline provides the step-by-step tutorial on how to download, install and run Autodesk 3ds Max 2023 for Windows 11.Installation Video
Create Autodesk Account
Step 1: Head over to the Registration Portal. Key In the following details in their input boxes.

Field 

Value

First Name

“Your First Name” (example: Alex)

Last Name

“Last Name” (example: Mercer)

Email

“TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Confirm Email

Confirm “TP Email” (example: TPXXXXXX@mail.apu.edu.my)

Password

“Your Password” (example: Alex.123.)

Step 2: Click “I agree to the Autodesk terms… Privacy Statement.” Then click Create Account.


Step 3: Click Done.


Step 4: A verification email should be sent to your TP email. Click Verify email.


Step 5: Click Done.


Download Autodesk 2ds Max 2023
If this is your first time installing an Autodesk software. Please refer to the “download section” of the Installation Guideline linked. CLICK HERE.

Step 1: Navigate to the Software Download Page. Look for “3ds Max”.


Step 2: Click Get product.


Step 3: Choose Windows, 2023. Click Install. Then finally press Accept.


Result: The installer should automatically download.


Install Autodesk 2ds Max 2023
Step 1: Launch Autodesk_3ds_Max_2023….


Step 2: Click Next.


Step 3: Click Install.


Step 4: Click Restart.


Run Autodesk 2ds Max 2023
Step 1: Launch 3ds Max 2023.


Step 2: Click Continue.


Result: Installation Complete.


 "
Installation Guideline for xNormal 3.19 (Windows 11),IT_Helpdesk,"This is a step-by-step process on how to install xNormal 3.19 on Windows 11. The entire article is divided into three sections, which include; downloading, installing and running xNormal 3.19 on Windows 11.Installation Video
Downloading xNormal 3.19 (Windows 11)
Step 1: Go to the Official Download Page and scroll down. Choose Version; Operating System; Mirror; as 3.19.9c; Windows 11; Default. Then click Download file.


Result: Once the Download file button has been clicked, xNormal 3.19 (Windows 11) will start downloading.


Installing xNormal 3.19 (Windows 11)
Step 1: Go to Download in files and click xNormal-3.19.9c-installer.exe.


Step 2: Click Next.


Step 3: Click I accept the terms of the License Agreement and then click Next.


Step 4: Click Next.


Step 5: Click Install.


Step 6: Wait for the installation process to be finished.


Step 7: Click Next.


Step 8: Wait for the downloading components to be finished.


Step 9: Wait for the installation of components to be finished.


Step 10: Once the installation is done, click Finish.


Run xNormal 3.19
Step 1: Launch xNormal (x64).


Result: Installation complete. 


 

"
Ansys Student 2020 Installation Guide,IT_Helpdesk,"This guide will show the process for installing Ansys Student on your workstation.

The Ansys Student license will be valid for 6 months.

Download Ansys Student
Navigate to https://www.ansys.com/academic/free-student-products  on your preferred browser. Click on Ansys Student.


Click on Download Ansys Student 2020 R1.


The Terms of Use will appear. Click Agree & Download. You will download a ZIP file that is approximately 5GB in size.


Once the download is completed, you will see this ZIP file.


Before beginning the installation process, you will need to extract the ZIP contents. You can use any compression utility (such as 7 Zip or WinRAR) to extract the files.

Once the contents are extracted, you will see setup.exe.


To extract ZIP file content without 3rd-party utilities, start by double clicking on the ZIP file. On the Extract ribbon tab, click Extract All. Click Extract to extract the contents to the destination folder.


Install Ansys Student
Double click on setup.exe to begin the installation.

In this window, select “I AGREE” and click Next.


You can change the installation directory here. Click Next.


The installation will begin. It will take approximately 20 minutes depending on your computer specification.


Once the installation is completed, click Exit.


After Installation
After installing, you will see a new folder in Start Menu. The license will activate automatically after installation.


To test out the software, just launch any of the software components.


To check if Ansys is activated, you can open User License Preferences 2020 R1 in Start Menu to open the license utility. If you see “ANSYS AIM Student” in the tool, the Ansys Student suite is activated.


 

"
ANSYS 2021 R2 - Education Installation guideline for Windows,IT_Helpdesk,"Download ANSYS 2021 R2
Step 1: Download the installer using the following LINK (Click Me)

Step 2: Right-click on the file and select Download. The contents of the folder will be zipped and downloaded.


Step 3: Once the zipped file is downloaded, unzip/extract the file to reveal its contents.

Note: If you are unable to locate your zipped file, check your “Downloads” folder as it is the default download location.


Select the location you wished to extract the contents to by clicking ‘Browse’. Click ‘Extract’ when the location has been chosen and the unzipping process will begin.


Install Ansys
Step 4: Open the folders to reveal the contents. Select the ‘autorun’ to begin with the installation process.


Step 5: You would need to install the 3 given applications:

Install Electromagnetics Suite

Install Distributed Simulation Technologies

Install Layout Integrations for ECAD

Note: Repeat the same the below steps for the remaining application installers as well.


Step 6: Accept the License Agreement by pressing ‘Yes’.


Step 7: Choose your installation location and click ‘Next’. You need to choose a Temp Directory if you wish to change its location but we recommend using the Default Temp Directory location. Tick the box below and press ‘Next’ to proceed to the next page. Choose ‘This local installation’ and press ‘Next’ to proceed.


Step 8: Click on 'This local installation' and click Next


Step 9: Select ‘I want to specify a license server’ and a window will appear prompting for a license server. Server 1: 219.93.16.137 , Port Number: 1055. Click Next.

Note: Make sure to tick ‘Specify server TCP/IP’ as shown in the picture below

 

Step 10: The installation process should start and complete in a few minutes.

 

Step 11: Repeat the installation steps for Distributed Simulation Technologies and Layout Integrations for ECAD.

Note: Licensing is not needed for these two installations as it was activated previously.


 

Step 12: Once completed, you can find the installed applications on your desktop or start menu.



Launch the application to verify the application has successfully been installed and is working fine."
Free LabVIEW During the COVID 19 Pandemic,IT_Helpdesk,"We are pleased to inform that National Instruments is now offering FREE access to LabVIEW to all APU  students and academic staff due to the COVID 19 pandemic until at least 70 days.   LabVIEW is a graphical program commonly used by scientists and engineers for data acquisition, instrument control, and industrial automation.  Please click on the following link to install LabVIEW – NI LabVIEW 2019 Installation Guide.

In case of further inquiry, please open a ticket with the Virtual Help Centre. Alternatively, you may choose to access APSpace > More > Help Centre for further guidance and support. This guideline is designed for you to help you in the process of opening a ticket.

labview"
NI LabView 2020 Installation Guide – Free 6 months license,IT_Helpdesk,"LabVIEW is a graphical program commonly used by scientists and engineers for data acquisition, instrument control, and industrial automation. This article will guide you on installing LabVIEW on your workstation.

Register NI User Account
If you already have a National Instrument account, skip to Login and Download.
Registration form
Go to https://lumen.ni.com/nicif/us/evallvstudent/content.xhtml using your web browser. You will see a form to create an NI User Account.


Fill in the appropriate fields with the following details:

Role

 Student

School

 Asia Pacific University of Technology & Innovation (APU)

School Address

 Jalan Teknologi 5

City

 Kuala Lumpur

Province

 Wilayah Persekutuan Kuala Lumpur

Postal Code

 57000

Email address

 TP email (Format: TPXXXXXX@mail.apu.edu.my)

It will show “Enter a valid email address” when you enter your TP email. This is normal and you can still click on Create Account to register.


Once all the details have been entered, click Create Account.

Confirm account creation
Once you submitted the form, you will be asked to confirm your account. National Instruments (NI) will send an activation email to the email that you registered with. 

If you didn’t find the confirmation email, check your Spam folder or click Resend.


Once you find the email titled Please confirm your NI user account, click on the link to activate your account.


Once you click on the link, your account will be activated. Click Continue.


Login and Download
Login
Go to https://lumen.ni.com/nicif/us/header_login/content.xhtml and login to your NI User Account.


Download Software
After you activate your account/log in to your user account, navigate to http://www.ni.com/gate/gb/GB_EVALLVSTUDENT/US.

You will be given a Serial Number. This Serial Number will be valid for at least 70 days. You can always come back to this website to view the Serial Number if you need to reactivate in the future.

Under Additional Resources, click on Download Software.


You will see this download page to download LabVIEW. In Application Bitness, select 64-bit. 

Leave other settings to default.

If you are using different Operating System, such as macOS, you need to change Supported OS to the correct settings.

Once you choose the settings you need, click on Download.


You might receive a prompt to enter your password. Simply verify your account by entering your NI account password.

When prompted, in Primary Job Activity select Other.


You will see this page and the download will start. Click on Restart the download if your installer is not downloading.


Installation
Double click the installer that you just downloaded will start the installation.

Install NI Package Manager
Before the LabVIEW install, you will need to install Package Manager. Select I accept the above license agreement and click Next.


When prompted about disabling Windows Fast Startup, click Next.


On this page, click Next. The installation will proceed and it will take a minute.


Install LabVIEW and drivers
Once the Package Manager had been installed, the LabVIEW installer will shows up. In this page, select the components you wanted to install. The essentials components are selected by default.

Once you are done selecting the components to install, click Next.


On this page, you will be given the option to select additional items to install. Leave it to default and click Next.


Select I accept the above 3 license agreement(s) and click Next.


Select I accept the above 2 license agreement(s) and click Next.


When prompted about disabling Windows Fast Startup, click Next.


On this page, click Next.


The installation will proceed and it will take 15 minutes to an hour depending on your Internet connection.


When the installation is completed, you will see this dialog box. Click on Yes if you want the software to update automatically. To prevent unnecessary update checking, click on No.


Next, you will see a dialog box to opt-in to their Customer Experience Improvement Program. Select No, I do not want to participate in the NI Customer Experience Improvement Program and click OK.


Activate LabVIEW 2019
After the installation is completed, you will be requested to activate LabVIEW. Click on Log in to Activate.


You will be prompted to login to your account. Enter your NI User Account credentials and press Enter.


Once you logged in, most components including the main software will be activated. 

You will see a list of components that needs manual activation. Click on the drop-down box and select Enter a serial number.


You can refer to this page after login for the Serial Number.

Once you fill in the Serial Number in all the text boxes, click Activate.


If the serial number is working, you will see LabView is activated. Click on Finish.


Click on Reboot Now to complete the installation.


Installation Complete
To launch LabVIEW, in the Start Menu type in “ni labview 2020” and press enter.


If you see this when you open LabVIEW, it means your LabVIEW is activated properly.
"
NI LabView Installation Guide – Student Copy (1 Year License),IT_Helpdesk,"LabVIEW is a graphical program commonly used by scientists and engineers for data acquisition, instrument control, and industrial automation. This article will guide you on installing LabVIEW on your workstation.

Before we start
If you don’t have a NI User Account, kindly register one using the following registration link: https://bit.ly/2GgiA5D

Next, complete the form with the following information:

Fields

Value

Remarks

Role

Student

Page will reload once

School

Asia Pacific University of Technology & Innovation (APU)

Will autofill 3 fields

School Address

Jalan Teknologi 5

Autofilled

City

Kuala Lumpur

Autofilled

Province

Wilayah Persekutuan Kuala Lumpur

 

Postal Code

57000

Autofilled

Email address

TP email (Format: TPXXXXXX@mail.apu.edu.my)

 

Primary Job Activity

Other

 

Click 
CREATE ACCOUNT
 when you are done. You will receive a confirmation email sent by National Instruments in the email account you registered.

Click on the link in the email to complete the account registration.


Downloading LabVIEW
Once we have the necessary account, we can proceed to download the installer. Navigate to the following website to access the download page:

https://www.ni.com/en-my/support/downloads/software-products/download.labview.html#345658

Click on the 
DOWNLOAD
 button. 


You should be redirected to the login page. Click on log in and login with your NI User Account.


When prompted to Complete Your Account, pick Other for Primary Job Activity. 
The installer will starts to download after you click 
CONTINUE
.


Check your downloads folder for the following installer file. Double click the executable to start the installation process.


Installing LabVIEW
After starting the installer, you will be presented with the following menu. 
Here, you can choose what Add-Ons you wants to install should you require it. Click Next.


In this menu, you will be presented with options to install additional components. Click Next.


Next, you will be required to accept license agreements of components you wanted to install. Read the license agreement and select I accept the above n license agreements and click Next.


If your installation also consists of third party components, you will be required to accept their license agreements as well. Select I accept the above n license agreements and click Next.


In this page, you will be asked to disable Windows fast startup. Uncheck the Disable Windows fast startup and click Next.

To ensure optimal boot times on your personal computer, consider not disabling Windows fast startup. Disabling Windows fast startup is highly recommended ONLY if you require the connection of external DAQ hardwares and you experiences compatibility issues with DAQ drivers.

Click here for more information on LabVIEW interaction with Windows fast startup.


Installation process will now begin. The installer will downloads and install the software and it should takes around 20 minutes depending on your network and computer specifications.


After installation, you will be prompted to enable NI Update Service. Click Yes if you are fine with occasional update notifications, or No if you would like to update manually.


Activating LabVIEW
After the prompt, you will be required to activate LabVIEW. Click on 
LOG IN TO ACTIVATE
.


Click on the dropdown menu and select Enter a serial number.


Enter the serial number provided by our licensing team for the following components and click 
ACTIVATE
 : 

LabVIEW 2020 Application Builder

LabVIEW 2020 Database Connectivity Toolkit

LabVIEW 2020 Professional Development System

LabVIEW 2020 Report Generation Toolkit for Microsoft Office 

LabVIEW 2020 Student Edition

To acquire the LabVIEW 2020 license, kindly submit an ticket request to Virtual Help Centre using your student email. We will provide the serial number and assist you in activating LabVIEW 2020.


If the activation was successful, you will be congratulated with the following window. Click Finish.

The license expiry date for LabVIEW 2020 is 1 September, 2021


Finally, click Reboot Now to allow installer to cleanup and complete the installation.


Using LabVIEW 2020
To launch LabVIEW 2020, open Start Menu and type in “lab”, click on NI LabVIEW 2020 (64-bit).


To check if your LabVIEW 2020 is activated properly, notice the top left corner of the splash screen. The software is activated properly when it is registered to your name and Asia Pacific University of Technology & Innovation (APU).


If you can see this window, it means the software is working fine and you are ready to start developing your system.
"
LabView 2020 Installation Guide (APSoftware),IT_Helpdesk,"Download the LabView installer provided below (click on the download button on top right).

ni-labview-2020_20.0_suite_online_repack2.exe
20 Jul 2023, 05:06 PM
Installing NI Package Manager
Double click the installer to start the installation process. Before LabView is installer, you need to install the Package Manager. Select I accept the above license agreement and click Next.


In this page, you will be asked to disable Windows fast startup. Uncheck the Disable Windows fast startup and click Next.

To ensure optimal boot times on your personal computer, consider not disabling Windows fast startup. Disabling Windows fast startup is highly recommended ONLY if you require the connection of external DAQ hardwares and you experiences compatibility issues with DAQ drivers.

Click here for more information on LabVIEW interaction with Windows fast startup.


Click Next.


Package Manager will be installed. Once the installation is completed it will automatically launches LabView installer.


Installing LabView 2020
After starting the installer, you will be presented with the following menu.

Here, you can choose what Add-Ons you wants to install should you require it. Click Next.


In this menu, you will be presented with options to install additional components. Click Next.


In this menu, you will be presented with options to install additional components. Click Next.


Next, you will be required to accept license agreements of components you wanted to install. Read the license agreement and select I accept the above n license agreements and click Next.


If your installation also consists of third party components, you will be required to accept their license agreements as well. Select I accept the above n license agreements and click Next.


In this page, you can review the components that you will install. Click Next.


Installation process will now begin. The installer will downloads and install the software and it should takes around 20 minutes depending on your network and computer specifications.


After installation, you will be prompted to enable NI Update Service. Click Yes if you are fine with occasional update notifications, or No if you would like to update manually.


You will also be prompted about their telemetry service. Select option that you desire and click OK.


You will be prompted to activate LabView here. Click Cancel.


Click Reboot Now to complete the installation.


Activating LabView 2020
Open Start Menu and type in “ni license”, click on NI License Manager.


On the top left, click on the menu icon and select Manage Volume License Servers.


In the textbox provided, enter the server IP of 219.93.16.138:27002 (New public IP). Click OK.


Wait for the license to be retrieved. When completed, you should see the following window with several software being licensed. You can close the Window.


Using LabView 2020
To launch LabView 2020, open Start Menu and type in “lab”, click on NI LabVIEW 2020 (64-bit).


If you can see this window, it means the software is working fine and you are ready to start developing your system.

"
